Country,Country Code,Diabetes Total,Diabetes Male,Diabetes Female,Overweight Total,Overweight Male,Overweight Female,Obesity Total,Obesity Male,Obesity Female, Diabetes Proportional Mortality,Diabetes Total per,Diabetes Total2,Obesity Total per,Overweight Total per,
Afghanistan,AFG,8.40%,8.00%,8.80%,13.90%,11.80%,16.10%,2.40%,1.50%,3.30%,1%,8.00,0.084,0.02,0.14,
Albania,ALB,8.30%,8.40%,8.10%,53.50%,57.80%,49.20%,18.10%,16.70%,19.40%,,8.00,0.083,0.18,0.54,
Algeria,DZA,10.50%,10.20%,10.70%,57.10%,53.90%,60.30%,23.60%,18.00%,29.30%,Other NCDs,10.00,0.105,0.24,0.57,
Andorra,AND,9.10%,10.00%,8.20%,71.20%,76.00%,66.50%,32.10%,30.70%,33.40%,,9.00,0.091,0.32,0.71,
Angola,AGO,5.60%,5.80%,5.50%,27.10%,21.10%,33.10%,8.50%,5.10%,11.90%,,5.00,0.056,0.09,0.27,
Antigua and Barbuda,ATG,11.80%,10.00%,13.60%,62.10%,55.30%,68.70%,31.00%,22.80%,39.00%,0%,11.00,0.118,0.31,0.62,
Argentina,ARG,10.20%,10.00%,10.50%,62.20%,63.90%,60.60%,26.50%,23.60%,29.40%,,10.00,0.102,0.27,0.62,
Armenia,ARM,12.30%,11.10%,13.50%,56.20%,56.10%,56.40%,19.90%,17.10%,22.90%,,12.00,0.123,0.20,0.56,
Australia,AUS,7.30%,8.10%,6.50%,29.40%,30.50%,29.90%,72.00%,60.90%,66.40%,3%,7.00,0.073,0.72,0.29,
Austria,AUT,6.00%,7.10%,5.00%,56.60%,64.40%,49.20%,20.10%,22.10%,18.10%,14%,6.00,0.06,0.20,0.57,
Azerbaijan,AZE,11.60%,10.50%,12.60%,57.40%,56.30%,58.40%,22.20%,18.50%,25.90%,2%,11.00,0.116,0.22,0.57,
Bahamas,BHS,12.70%,11.00%,14.30%,69.50%,66.40%,72.40%,36.60%,29.80%,43.20%,Other NCDs,12.00,0.127,0.37,0.70,
Bahrain,BHR,8.50%,8.70%,8.20%,70.30%,69.20%,72.10%,34.10%,29.70%,41.30%,13%,8.00,0.085,0.34,0.70,
Bangladesh,BGD,8.00%,8.60%,7.40%,17.00%,14.40%,19.60%,3.30%,2.00%,4.60%,Other NCDs,8.00,0.08,0.03,0.17,
Barbados,BRB,14.10%,11.80%,16.40%,64.90%,59.20%,70.60%,33.20%,25.60%,40.70%,Other NCDs,14.00,0.141,0.33,0.65,
Belarus,BLR,9.50%,8.80%,10.00%,61.00%,63.10%,59.20%,25.20%,22.10%,27.80%,,9.00,0.095,0.25,0.61,
Belgium,BEL,6.40%,7.50%,5.40%,60.50%,69.00%,52.30%,22.10%,24.00%,20.20%,,6.00,0.064,0.22,0.61,
Belize,BLZ,9.90%,7.60%,12.20%,50.50%,45.40%,55.50%,20.60%,14.80%,26.40%,,9.00,0.099,0.21,0.51,
Benin,BEN,5.10%,5.10%,5.10%,25.90%,18.10%,33.70%,8.10%,3.70%,12.40%,,5.00,0.051,0.08,0.26,
Bhutan,BHU,9.20%,9.50%,8.90%,24.80%,23.30%,26.60%,5.90%,4.60%,7.50%,,9.00,0.092,0.06,0.25,
Bolivia (Plurinational State of),BOL,6.60%,5.50%,7.70%,49.30%,45.30%,53.40%,15.80%,11.10%,20.60%,,6.00,0.066,0.16,0.49,
Bosnia and Herzegovina,BIH,9.30%,9.60%,9.10%,54.60%,57.40%,51.90%,19.20%,17.10%,21.20%,,9.00,0.093,0.19,0.55,
Botswana,BWA,6.00%,4.90%,7.10%,43.00%,33.10%,53.20%,19.50%,10.90%,28.20%,,6.00,0.06,0.20,0.43,
Brazil,BRA,8.10%,7.40%,8.80%,54.20%,55.30%,53.20%,20.10%,17.20%,22.90%,15%,8.00,0.081,0.20,0.54,
Brunei Darussalam,BRN,9.00%,8.90%,9.20%,47.80%,48.30%,47.20%,18.60%,16.70%,20.60%,,9.00,0.09,0.19,0.48,
Bulgaria,BGR,10.30%,10.70%,10.00%,63.60%,67.80%,59.70%,25.60%,23.60%,27.50%,Other NCDs,10.00,0.103,0.26,0.64,
Burkina Faso,BFA,4.20%,4.60%,3.80%,20.70%,15.20%,26.10%,5.20%,2.80%,7.70%,Other NCDs,4.00,0.042,0.05,0.21,
Burundi,BDI,2.60%,2.70%,2.60%,13.40%,7.40%,19.30%,2.10%,0.60%,3.60%,,3.00,0.026,0.02,0.13,
Côte d'Ivoire,CIV,5.00%,5.60%,4.40%,27.60%,21.80%,33.70%,8.00%,4.30%,11.80%,2%,5.00,0.05,0.08,0.28,
Cabo Verde,CPV,6.80%,6.70%,6.90%,34.00%,29.10%,38.90%,11.70%,7.70%,15.70%,,6.00,0.068,0.12,0.34,
Cambodia,KHM,5.90%,5.70%,6.10%,16.40%,12.10%,20.60%,2.90%,1.50%,4.20%,,5.00,0.059,0.03,0.16,
Cameroon,CMR,4.70%,4.50%,4.90%,29.50%,22.10%,36.90%,9.60%,4.90%,14.30%,,4.00,0.047,0.10,0.30,
Canada,CAN,7.20%,7.80%,6.50%,67.70%,72.00%,63.40%,30.10%,28.60%,31.50%,22%,7.00,0.072,0.30,0.68,
Central African Republic,CAF,5.70%,5.70%,5.80%,19.30%,13.20%,25.30%,4.40%,1.90%,6.70%,,5.00,0.057,0.04,0.19,
Chad,TCD,4.60%,5.10%,4.10%,22.10%,15.20%,29.00%,6.60%,3.30%,9.90%,1%,4.00,0.046,0.07,0.22,
Chile,CHL,11.40%,10.70%,12.00%,64.20%,63.90%,64.40%,28.50%,23.70%,33.10%,22%,11.00,0.114,0.29,0.64,
China,CHN,9.40%,10.50%,8.30%,35.40%,37.20%,33.60%,7.30%,6.20%,8.50%,Other NCDs,9.00,0.094,0.07,0.35,
Colombia,COL,8.00%,7.60%,8.50%,55.80%,53.20%,58.30%,20.70%,15.70%,25.50%,16%,8.00,0.08,0.21,0.56,
Comoros,COM,5.90%,5.70%,6.00%,22.50%,14.30%,30.70%,5.80%,2.00%,9.60%,2%,5.00,0.059,0.06,0.23,
Congo,COD,5.70%,5.70%,5.80%,30.50%,24.60%,36.40%,9.70%,5.70%,13.70%,Other NCDs,5.00,0.057,0.10,0.31,
Cook Islands,COK,26.80%,27.40%,26.20%,80.00%,78.20%,81.90%,50.00%,45.80%,54.40%,0%,26.00,0.268,0.50,0.80,
Costa Rica,CRI,8.50%,8.40%,8.70%,59.90%,58.00%,61.90%,24.00%,19.00%,29.20%,,8.00,0.085,0.24,0.60,
Croatia,HRV,9.90%,10.70%,9.20%,62.90%,67.80%,58.40%,25.60%,24.30%,26.80%,12%,9.00,0.099,0.26,0.63,
Cuba,CUB,10.20%,8.70%,11.80%,20.40%,34.00%,27.20%,57.30%,66.60%,61.90%,3%,10.00,0.102,0.57,0.20,
Cyprus,CYP,7.80%,8.90%,6.70%,24.50%,22.30%,26.80%,61.80%,64.70%,58.70%,7%,7.00,0.078,0.62,0.25,
Czech Republic,CZE,9.60%,10.20%,9.10%,29.10%,28.10%,30.10%,67.20%,72.80%,61.80%,2%,9.00,0.096,0.67,0.29,
Democratic People's Republic of Korea,KOR,6.20%,5.60%,6.70%,2.50%,1.70%,3.30%,21.20%,19.80%,22.40%,13%,6.00,0.062,0.21,0.03,
Democratic Republic of the Congo,COD,4.30%,4.20%,4.30%,3.70%,1.40%,5.90%,18.20%,12.00%,24.30%,1%,4.00,0.043,0.18,0.04,
Denmark,DNK,6.10%,7.20%,5.00%,21.00%,23.30%,18.80%,58.70%,67.50%,50.00%,3%,6.00,0.061,0.59,0.21,
Djibouti,DJI,6.20%,6.50%,5.90%,8.50%,5.10%,12.00%,29.30%,24.90%,33.70%,,6.00,0.062,0.29,0.09,
Dominica,DMA,11.40%,8.60%,14.20%,58.60%,53.50%,63.60%,25.90%,18.50%,33.20%,,11.00,0.114,0.26,0.59,
Dominican Republic,DOM,9.30%,10.60%,7.80%,54.80%,51.20%,58.40%,23.00%,17.60%,28.40%,,9.00,0.093,0.23,0.55,
Ecuador,ECU,7.30%,6.70%,7.90%,52.80%,55.50%,50.10%,18.00%,22.20%,22.20%,4%,7.00,0.073,0.18,0.53,
Egypt,EGY,16.20%,14.20%,18.20%,27.70%,19.40%,36.00%,60.00%,53.80%,66.30%,1%,16.00,0.162,0.60,0.28,
El Salvador,SLV,8.80%,7.70%,9.70%,20.10%,14.20%,25.30%,53.50%,49.20%,57.40%,5%,8.00,0.088,0.54,0.20,
Equatorial Guinea,GNQ,7.60%,7.90%,7.30%,16.20%,11.90%,20.70%,39.10%,33.70%,44.90%,,7.00,0.076,0.39,0.16,
Eritrea,ERI,3.40%,3.60%,3.30%,16.70%,10.60%,22.80%,3.40%,1.20%,5.60%,,3.00,0.034,0.03,0.17,
Estonia,EST,9.30%,9.10%,9.50%,60.30%,64.20%,56.90%,24.50%,23.50%,25.40%,1%,9.00,0.093,0.25,0.60,
Ethiopia,ETH,3.80%,4.00%,3.60%,16.50%,10.10%,22.90%,3.30%,1.30%,5.40%,,3.00,0.038,0.03,0.17,
Fiji,FJI,16.60%,14.90%,18.30%,70.40%,66.80%,74.00%,35.90%,30.20%,41.90%,Other NCDs,16.00,0.166,0.36,0.70,
Finland,FIN,7.70%,8.70%,6.80%,59.40%,65.60%,53.40%,22.80%,23.40%,22.20%,25%,7.00,0.077,0.23,0.59,
France,FRA,8.00%,9.50%,6.60%,64.10%,69.90%,58.60%,25.70%,25.30%,26.10%,,8.00,0.08,0.26,0.64,
Gabon,GAB,8.10%,7.90%,8.30%,41.30%,37.40%,45.20%,15.80%,11.60%,20.10%,,8.00,0.081,0.16,0.41,
Gambia,GMB,5.80%,6.50%,5.20%,28.50%,22.70%,34.10%,9.10%,5.00%,13.10%,Other NCDs,5.00,0.058,0.09,0.29,
Georgia,GEO,15.00%,15.00%,15.00%,57.70%,55.80%,59.40%,22.10%,17.90%,25.90%,1%,15.00,0.15,0.22,0.58,
Germany,DEU,7.40%,8.40%,6.40%,59.70%,67.00%,52.70%,22.70%,24.10%,21.40%,17%,7.00,0.074,0.23,0.60,
Ghana,GHA,4.80%,4.60%,5.00%,30.80%,21.50%,39.90%,10.90%,4.90%,16.80%,2%,4.00,0.048,0.11,0.31,
Greece,GRC,9.10%,9.50%,8.80%,64.90%,69.60%,60.20%,25.10%,23.60%,26.70%,,9.00,0.091,0.25,0.65,
Grenada,GRD,9.80%,7.40%,12.10%,55.00%,48.20%,61.90%,24.60%,16.90%,32.30%,,9.00,0.098,0.25,0.55,
Guatemala,GTM,7.50%,6.80%,8.20%,47.70%,43.10%,52.10%,16.40%,11.30%,21.20%,Other NCDs,7.00,0.075,0.16,0.48,
Guinea,GIN,4.70%,4.90%,4.50%,23.00%,16.70%,29.30%,5.90%,2.80%,8.90%,,4.00,0.047,0.06,0.23,
Guinea-Bissau,GNB,5.20%,5.30%,5.10%,23.50%,17.70%,29.30%,6.30%,3.20%,9.40%,2%,5.00,0.052,0.06,0.24,
Guyana,GUY,9.10%,7.20%,10.90%,51.00%,42.20%,60.10%,21.90%,13.90%,30.20%,,9.00,0.091,0.22,0.51,
Haiti,HTI,6.90%,6.60%,7.10%,35.50%,29.40%,41.40%,10.70%,6.40%,14.80%,5%,6.00,0.069,0.11,0.36,
Honduras,HND,7.20%,6.50%,7.90%,47.60%,43.30%,52.00%,16.30%,11.10%,21.60%,,7.00,0.072,0.16,0.48,
Hungary,HUN,10.00%,10.60%,9.40%,63.30%,69.40%,57.80%,26.00%,25.50%,26.50%,,10.00,0.1,0.26,0.63,
Iceland,ISL,7.10%,8.90%,5.30%,59.90%,66.90%,52.90%,23.90%,25.00%,22.80%,2%,7.00,0.071,0.24,0.60,
India,IND,7.80%,7.90%,7.50%,21.40%,19.00%,23.90%,4.70%,3.10%,6.50%,Other NCDs,7.00,0.078,0.05,0.21,
Indonesia,IDN,7.00%,6.60%,7.30%,24.40%,20.70%,28.10%,5.70%,3.60%,7.80%,6%,7.00,0.07,0.06,0.24,
Iran (Islamic Republic of),IRN,10.30%,9.60%,11.10%,24.90%,19.30%,30.60%,60.50%,58.00%,63.10%,2%,10.00,0.103,0.61,0.25,
Iraq,IRQ,13.20%,12.70%,13.80%,53.20%,48.70%,57.80%,21.20%,15.30%,27.30%,Other NCDs,13.00,0.132,0.21,0.53,
Ireland,IRL,7.30%,8.40%,6.20%,27.00%,27.30%,26.80%,62.90%,68.80%,57.10%,2%,7.00,0.073,0.63,0.27,
Israel,ISR,7.20%,7.60%,6.80%,25.80%,23.70%,27.80%,64.50%,68.60%,60.40%,6%,7.00,0.072,0.65,0.26,
Italy,ITA,8.50%,9.60%,7.40%,64.00%,68.70%,59.50%,23.70%,22.50%,24.80%,17%,8.00,0.085,0.24,0.64,
Jamaica,JAM,11.90%,9.10%,14.50%,58.40%,51.20%,65.50%,26.80%,18.00%,35.30%,,11.00,0.119,0.27,0.58,
Japan,JPN,10.10%,11.80%,8.50%,26.50%,30.40%,22.80%,3.50%,3.40%,3.60%,1%,10.00,0.101,0.04,0.27,
Jordan,JOR,13.10%,12.90%,13.50%,62.30%,58.90%,66.00%,28.10%,21.00%,35.60%,,13.00,0.131,0.28,0.62,
Kazakhstan,KAZ,11.50%,11.30%,11.70%,23.50%,21.30%,25.40%,58.70%,59.80%,57.70%,1%,11.00,0.115,0.59,0.24,
Kenya,KEN,4.00%,3.80%,4.20%,23.10%,15.80%,30.40%,5.90%,2.50%,9.20%,Other NCDs,4.00,0.04,0.06,0.23,
Kiribati,KIR,22.00%,21.70%,22.20%,72.30%,66.50%,78.20%,40.10%,32.50%,48.00%,,22.00,0.22,0.40,0.72,
Kuwait,KWT,14.70%,14.80%,14.60%,73.70%,74.30%,72.80%,38.30%,34.80%,43.50%,,14.00,0.147,0.38,0.74,
Kyrgyzstan,KGZ,8.60%,7.80%,9.30%,44.50%,42.50%,46.60%,13.30%,10.60%,16.00%,16%,8.00,0.086,0.13,0.45,
Lao People's Democratic Republic,LAO,5.60%,5.50%,5.70%,16.80%,13.60%,20.00%,3.00%,1.80%,4.10%,2%,5.00,0.056,0.03,0.17,
Latvia,LVA,9.40%,9.20%,9.60%,25.60%,23.20%,27.70%,61.50%,64.30%,59.10%,3%,9.00,0.094,0.62,0.26,
Lebanon,LBN,12.60%,14.10%,11.10%,67.30%,67.00%,67.60%,30.80%,26.10%,35.70%,Other NCDs,12.00,0.126,0.31,0.67,
Lesotho,LSO,6.00%,4.50%,7.50%,31.00%,16.30%,45.30%,11.90%,3.30%,20.40%,3%,6.00,0.06,0.12,0.31,
Liberia,LBR,5.60%,5.60%,5.70%,5.80%,2.50%,9.20%,22.60%,15.90%,29.50%,2%,5.00,0.056,0.23,0.06,
