IPR,Year,Prevalence,Type
300,2001-2004,32.8,Treated and Uncontrolled
300,2005-2008,27.2,Treated and Uncontrolled
300,2009-2012,42,Treated and Uncontrolled
300,2013-2016,35.9,Treated and Uncontrolled
300,2001-2004,13.6,Treated and Controlled
300,2005-2008,19.6,Treated and Controlled
300,2009-2012,19.9,Treated and Controlled
300,2013-2016,13.8,Treated and Controlled
300,2001-2004,14.4,Not Treated but Aware
300,2005-2008,13.7,Not Treated but Aware
300,2009-2012,12.1,Not Treated but Aware
300,2013-2016,4.8,Not Treated but Aware
300,2001-2004,39.2,Not Treated and Unaware
300,2005-2008,39.5,Not Treated and Unaware
300,2009-2012,26.1,Not Treated and Unaware
300,2013-2016,45.5,Not Treated and Unaware
