IPR,Year,Prevalence,Type
200,2001-2004,46.9,Treated and Uncontrolled
200,2005-2008,44.6,Treated and Uncontrolled
200,2009-2012,29.9,Treated and Uncontrolled
200,2013-2016,42.4,Treated and Uncontrolled
200,2001-2004,8,Treated and Controlled
200,2005-2008,18,Treated and Controlled
200,2009-2012,20.1,Treated and Controlled
200,2013-2016,19.3,Treated and Controlled
200,2001-2004,19.6,Not Treated but Aware
200,2005-2008,10,Not Treated but Aware
200,2009-2012,9.8,Not Treated but Aware
200,2013-2016,9.8,Not Treated but Aware
200,2001-2004,25.5,Not Treated and Unaware
200,2005-2008,27.4,Not Treated and Unaware
200,2009-2012,40.2,Not Treated and Unaware
200,2013-2016,28.5,Not Treated and Unaware
