IPR,Year,Prevalence,Type
500,2001-2004,32.8,Treated and Uncontrolled
500,2005-2008,42.4,Treated and Uncontrolled
500,2009-2012,36.7,Treated and Uncontrolled
500,2013-2016,60.8,Treated and Uncontrolled
500,2001-2004,14.4,Treated and Controlled
500,2005-2008,12.6,Treated and Controlled
500,2009-2012,20.2,Treated and Controlled
500,2013-2016,11.3,Treated and Controlled
500,2001-2004,16.9,Not Treated but Aware
500,2005-2008,12.4,Not Treated but Aware
500,2009-2012,5.5,Not Treated but Aware
500,2013-2016,14.3,Not Treated but Aware
500,2001-2004,35.9,Not Treated and Unaware
500,2005-2008,32.6,Not Treated and Unaware
500,2009-2012,37.6,Not Treated and Unaware
500,2013-2016,13.6,Not Treated and Unaware
